var,varDescrip,Keep,renamedVar,notes
sh19a_08,level of education attending 3-24 yrs old,,,
sh19a_09,level of education attending 3-24 yrs old,,,
sh19a_10,level of education attending 3-24 yrs old,,,
sh19a_11,level of education attending 3-24 yrs old,,,
sh19a_12,level of education attending 3-24 yrs old,,,
sh19a_13,level of education attending 3-24 yrs old,,,
sh19a_14,level of education attending 3-24 yrs old,,,
sh19a_15,level of education attending 3-24 yrs old,,,
sh19a_16,level of education attending 3-24 yrs old,,,
sh19a_17,level of education attending 3-24 yrs old,,,
sh19a_18,level of education attending 3-24 yrs old,,,
sh19a_19,level of education attending 3-24 yrs old,,,
sh19a_20,level of education attending 3-24 yrs old,,,
sh19a_21,level of education attending 3-24 yrs old,,,
sh19a_22,level of education attending 3-24 yrs old,,,
sh19b_01,grade attending 3-24 yrs old,,,
sh19b_02,grade attending 3-24 yrs old,,,
sh19b_03,grade attending 3-24 yrs old,,,
sh19b_04,grade attending 3-24 yrs old,,,
sh19b_05,grade attending 3-24 yrs old,,,
sh19b_06,grade attending 3-24 yrs old,,,
sh19b_07,grade attending 3-24 yrs old,,,
sh19b_08,grade attending 3-24 yrs old,,,
sh19b_09,grade attending 3-24 yrs old,,,
sh19b_10,grade attending 3-24 yrs old,,,
sh19b_11,grade attending 3-24 yrs old,,,
sh19b_12,grade attending 3-24 yrs old,,,
sh19b_13,grade attending 3-24 yrs old,,,
sh19b_14,grade attending 3-24 yrs old,,,
sh19b_15,grade attending 3-24 yrs old,,,
sh19b_16,grade attending 3-24 yrs old,,,
sh19b_17,grade attending 3-24 yrs old,,,
sh19b_18,grade attending 3-24 yrs old,,,
sh19b_19,grade attending 3-24 yrs old,,,
sh19b_20,grade attending 3-24 yrs old,,,
sh19b_21,grade attending 3-24 yrs old,,,
sh19b_22,grade attending 3-24 yrs old,,,
sh21_01,covered by health insurance,,,
sh21_02,covered by health insurance,,,
sh21_03,covered by health insurance,,,
sh21_04,covered by health insurance,,,
sh21_05,covered by health insurance,,,
sh21_06,covered by health insurance,,,
sh21_07,covered by health insurance,,,
sh21_08,covered by health insurance,,,
sh21_09,covered by health insurance,,,
sh21_10,covered by health insurance,,,
sh21_11,covered by health insurance,,,
sh21_12,covered by health insurance,,,
sh21_13,covered by health insurance,,,
sh21_14,covered by health insurance,,,
sh21_15,covered by health insurance,,,
sh21_16,covered by health insurance,,,
sh21_17,covered by health insurance,,,
sh21_18,covered by health insurance,,,
sh21_19,covered by health insurance,,,
sh21_20,covered by health insurance,,,
sh21_21,covered by health insurance,,,
sh21_22,covered by health insurance,,,
sh22_01,main type of health insurance,,,
sh22_02,main type of health insurance,,,
sh22_03,main type of health insurance,,,
sh22_04,main type of health insurance,,,
sh22_05,main type of health insurance,,,
sh22_06,main type of health insurance,,,
sh22_07,main type of health insurance,,,
sh22_08,main type of health insurance,,,
sh22_09,main type of health insurance,,,
sh22_10,main type of health insurance,,,
sh22_11,main type of health insurance,,,
sh22_12,main type of health insurance,,,
sh22_13,main type of health insurance,,,
sh22_14,main type of health insurance,,,
sh22_15,main type of health insurance,,,
sh22_16,main type of health insurance,,,
sh22_17,main type of health insurance,,,
sh22_18,main type of health insurance,,,
sh22_19,main type of health insurance,,,
sh22_20,main type of health insurance,,,
sh22_21,main type of health insurance,,,
sh22_22,main type of health insurance,,,
sh23_01,currently smoke 7 yrs or older,,,
sh23_02,currently smoke 7 yrs or older,,,
sh23_03,currently smoke 7 yrs or older,,,
sh23_04,currently smoke 7 yrs or older,,,
sh23_05,currently smoke 7 yrs or older,,,
sh23_06,currently smoke 7 yrs or older,,,
sh23_07,currently smoke 7 yrs or older,,,
sh23_08,currently smoke 7 yrs or older,,,
sh23_09,currently smoke 7 yrs or older,,,
sh23_10,currently smoke 7 yrs or older,,,
sh23_11,currently smoke 7 yrs or older,,,
sh23_12,currently smoke 7 yrs or older,,,
sh23_13,currently smoke 7 yrs or older,,,
sh23_14,currently smoke 7 yrs or older,,,
sh23_15,currently smoke 7 yrs or older,,,
sh23_16,currently smoke 7 yrs or older,,,
sh23_17,currently smoke 7 yrs or older,,,
sh23_18,currently smoke 7 yrs or older,,,
sh23_19,currently smoke 7 yrs or older,,,
sh23_20,currently smoke 7 yrs or older,,,
sh23_21,currently smoke 7 yrs or older,,,
sh23_22,currently smoke 7 yrs or older,,,
ha0_1,index to household schedule,,,
ha0_2,index to household schedule,,,
ha0_3,index to household schedule,,,
ha0_4,index to household schedule,,,
ha0_5,index to household schedule,,,
ha0_6,index to household schedule,,,
ha0_7,index to household schedule,,,
ha1_1,woman's age in years,,,
ha1_2,woman's age in years,,,
ha1_3,woman's age in years,,,
ha1_4,woman's age in years,,,
ha1_5,woman's age in years,,,
ha1_6,woman's age in years,,,
ha1_7,woman's age in years,,,
ha2_1,woman's weight in kilograms (1 decimal),,,
ha2_2,woman's weight in kilograms (1 decimal),,,
ha2_3,woman's weight in kilograms (1 decimal),,,
ha2_4,woman's weight in kilograms (1 decimal),,,
ha2_5,woman's weight in kilograms (1 decimal),,,
ha2_6,woman's weight in kilograms (1 decimal),,,
ha2_7,woman's weight in kilograms (1 decimal),,,
ha3_1,woman's height in centimeters (1 decimal),,,
ha3_2,woman's height in centimeters (1 decimal),,,
ha3_3,woman's height in centimeters (1 decimal),,,
ha3_4,woman's height in centimeters (1 decimal),,,
ha3_5,woman's height in centimeters (1 decimal),,,
ha3_6,woman's height in centimeters (1 decimal),,,
ha3_7,woman's height in centimeters (1 decimal),,,
ha4_1,height/age percentile,,,
ha4_2,height/age percentile,,,
ha4_3,height/age percentile,,,
ha4_4,height/age percentile,,,
ha4_5,height/age percentile,,,
ha4_6,height/age percentile,,,
ha4_7,height/age percentile,,,
ha5_1,height/age standard deviation,,,
ha5_2,height/age standard deviation,,,
ha5_3,height/age standard deviation,,,
ha5_4,height/age standard deviation,,,
ha5_5,height/age standard deviation,,,
ha5_6,height/age standard deviation,,,
ha5_7,height/age standard deviation,,,
ha6_1,height/age percent ref. median,,,
ha6_2,height/age percent ref. median,,,
ha6_3,height/age percent ref. median,,,
ha6_4,height/age percent ref. median,,,
ha6_5,height/age percent ref. median,,,
ha6_6,height/age percent ref. median,,,
ha6_7,height/age percent ref. median,,,
ha11_1,weight/height standard deviation (dhs),,,
ha11_2,weight/height standard deviation (dhs),,,
ha11_3,weight/height standard deviation (dhs),,,
ha11_4,weight/height standard deviation (dhs),,,
ha11_5,weight/height standard deviation (dhs),,,
ha11_6,weight/height standard deviation (dhs),,,
ha11_7,weight/height standard deviation (dhs),,,
ha12_1,weight/height percent ref. median (dhs),,,
ha12_2,weight/height percent ref. median (dhs),,,
ha12_3,weight/height percent ref. median (dhs),,,
ha12_4,weight/height percent ref. median (dhs),,,
ha12_5,weight/height percent ref. median (dhs),,,
ha12_6,weight/height percent ref. median (dhs),,,
ha12_7,weight/height percent ref. median (dhs),,,
ha12a_1,weight/height percent ref. median (fog),,,
ha12a_2,weight/height percent ref. median (fog),,,
ha12a_3,weight/height percent ref. median (fog),,,
ha12a_4,weight/height percent ref. median (fog),,,
ha12a_5,weight/height percent ref. median (fog),,,
ha12a_6,weight/height percent ref. median (fog),,,
ha12a_7,weight/height percent ref. median (fog),,,
ha12b_1,weight/height percent ref. median (who),,,
ha12b_2,weight/height percent ref. median (who),,,
ha12b_3,weight/height percent ref. median (who),,,
ha12b_4,weight/height percent ref. median (who),,,
ha12b_5,weight/height percent ref. median (who),,,
ha12b_6,weight/height percent ref. median (who),,,
ha12b_7,weight/height percent ref. median (who),,,
ha13_1,result of measurement - height/weight,,,
ha13_2,result of measurement - height/weight,,,
ha13_3,result of measurement - height/weight,,,
ha13_4,result of measurement - height/weight,,,
ha13_5,result of measurement - height/weight,,,
ha13_6,result of measurement - height/weight,,,
ha13_7,result of measurement - height/weight,,,
ha32_1,date of birth (cmc),,,
ha32_2,date of birth (cmc),,,
ha32_3,date of birth (cmc),,,
ha32_4,date of birth (cmc),,,
ha32_5,date of birth (cmc),,,
ha32_6,date of birth (cmc),,,
ha32_7,date of birth (cmc),,,
ha33_1,completeness of ha32 information,,,
ha33_2,completeness of ha32 information,,,
ha33_3,completeness of ha32 information,,,
ha33_4,completeness of ha32 information,,,
ha33_5,completeness of ha32 information,,,
ha33_6,completeness of ha32 information,,,
ha33_7,completeness of ha32 information,,,
ha35_1,smoking (cigarettes in last 24 hours),,,
ha35_2,smoking (cigarettes in last 24 hours),,,
ha35_3,smoking (cigarettes in last 24 hours),,,
ha35_4,smoking (cigarettes in last 24 hours),,,
ha35_5,smoking (cigarettes in last 24 hours),,,
ha35_6,smoking (cigarettes in last 24 hours),,,
ha35_7,smoking (cigarettes in last 24 hours),,,
ha40_1,body mass index,,,
ha40_2,body mass index,,,
ha40_3,body mass index,,,
ha40_4,body mass index,,,
ha40_5,body mass index,,,
ha40_6,body mass index,,,
ha40_7,body mass index,,,
ha41_1,rohrer's index,,,
ha41_2,rohrer's index,,,
ha41_3,rohrer's index,,,
ha41_4,rohrer's index,,,
ha41_5,rohrer's index,,,
ha41_6,rohrer's index,,,
ha41_7,rohrer's index,,,
ha50_1,under age 18,,,
ha50_2,under age 18,,,
ha50_3,under age 18,,,
ha50_4,under age 18,,,
ha50_5,under age 18,,,
ha50_6,under age 18,,,
ha50_7,under age 18,,,
ha51_1,line number of parent/caretaker,,,
ha51_2,line number of parent/caretaker,,,
ha51_3,line number of parent/caretaker,,,
ha51_4,line number of parent/caretaker,,,
ha51_5,line number of parent/caretaker,,,
ha51_6,line number of parent/caretaker,,,
ha51_7,line number of parent/caretaker,,,
ha52_1,read consent statement - hemoglobin,,,
ha52_2,read consent statement - hemoglobin,,,
ha52_3,read consent statement - hemoglobin,,,
ha52_4,read consent statement - hemoglobin,,,
ha52_5,read consent statement - hemoglobin,,,
ha52_6,read consent statement - hemoglobin,,,
ha52_7,read consent statement - hemoglobin,,,
ha53_1,hemoglobin level (g/dl - 1 decimal),,,
ha53_2,hemoglobin level (g/dl - 1 decimal),,,
ha53_3,hemoglobin level (g/dl - 1 decimal),,,
ha53_4,hemoglobin level (g/dl - 1 decimal),,,
ha53_5,hemoglobin level (g/dl - 1 decimal),,,
ha53_6,hemoglobin level (g/dl - 1 decimal),,,
ha53_7,hemoglobin level (g/dl - 1 decimal),,,
ha54_1,currently pregnant,,,
ha54_2,currently pregnant,,,
ha54_3,currently pregnant,,,
ha54_4,currently pregnant,,,
ha54_5,currently pregnant,,,
ha54_6,currently pregnant,,,
ha54_7,currently pregnant,,,
ha55_1,result of measurement - hemoglobin,,,
ha55_2,result of measurement - hemoglobin,,,
ha55_3,result of measurement - hemoglobin,,,
ha55_4,result of measurement - hemoglobin,,,
ha55_5,result of measurement - hemoglobin,,,
ha55_6,result of measurement - hemoglobin,,,
ha55_7,result of measurement - hemoglobin,,,
ha56_1,adjusted for altitude and smoking (g/dl - 1 decimal),,,
ha56_2,adjusted for altitude and smoking (g/dl - 1 decimal),,,
ha56_3,adjusted for altitude and smoking (g/dl - 1 decimal),,,
ha56_4,adjusted for altitude and smoking (g/dl - 1 decimal),,,
ha56_5,adjusted for altitude and smoking (g/dl - 1 decimal),,,
ha56_6,adjusted for altitude and smoking (g/dl - 1 decimal),,,
ha56_7,adjusted for altitude and smoking (g/dl - 1 decimal),,,
ha57_1,anemia level,,,
ha57_2,anemia level,,,
ha57_3,anemia level,,,
ha57_4,anemia level,,,
ha57_5,anemia level,,,
ha57_6,anemia level,,,
ha57_7,anemia level,,,
ha60_1,marital status,,,
ha60_2,marital status,,,
ha60_3,marital status,,,
ha60_4,marital status,,,
ha60_5,marital status,,,
ha60_6,marital status,,,
ha60_7,marital status,,,
ha61_1,read consent statement - hiv,,,
ha61_2,read consent statement - hiv,,,
ha61_3,read consent statement - hiv,,,
ha61_4,read consent statement - hiv,,,
ha61_5,read consent statement - hiv,,,
ha61_6,read consent statement - hiv,,,
ha61_7,read consent statement - hiv,,,
ha62_1,bar code for hiv blood sample,,,
ha62_2,bar code for hiv blood sample,,,
ha62_3,bar code for hiv blood sample,,,
ha62_4,bar code for hiv blood sample,,,
ha62_5,bar code for hiv blood sample,,,
ha62_6,bar code for hiv blood sample,,,
ha62_7,bar code for hiv blood sample,,,
ha63_1,result of measurement - hiv,,,
ha63_2,result of measurement - hiv,,,
ha63_3,result of measurement - hiv,,,
ha63_4,result of measurement - hiv,,,
ha63_5,result of measurement - hiv,,,
ha63_6,result of measurement - hiv,,,
ha63_7,result of measurement - hiv,,,
ha65_1,result of woman's individual interview,,,
ha65_2,result of woman's individual interview,,,
ha65_3,result of woman's individual interview,,,
ha65_4,result of woman's individual interview,,,
ha65_5,result of woman's individual interview,,,
ha65_6,result of woman's individual interview,,,
ha65_7,result of woman's individual interview,,,
ha66_1,woman's highest educational level,,,
ha66_2,woman's highest educational level,,,
ha66_3,woman's highest educational level,,,
ha66_4,woman's highest educational level,,,
ha66_5,woman's highest educational level,,,
ha66_6,woman's highest educational level,,,
ha66_7,woman's highest educational level,,,
ha67_1,woman's highest year of education,,,
ha67_2,woman's highest year of education,,,
ha67_3,woman's highest year of education,,,
ha67_4,woman's highest year of education,,,
ha67_5,woman's highest year of education,,,
ha67_6,woman's highest year of education,,,
ha67_7,woman's highest year of education,,,
ha68_1,woman's highest educational level (for preliminary and final report),,,
ha68_2,woman's highest educational level (for preliminary and final report),,,
ha68_3,woman's highest educational level (for preliminary and final report),,,
ha68_4,woman's highest educational level (for preliminary and final report),,,
ha68_5,woman's highest educational level (for preliminary and final report),,,
ha68_6,woman's highest educational level (for preliminary and final report),,,
ha68_7,woman's highest educational level (for preliminary and final report),,,
ha69_1,hiv weight (6 decimals),,,
ha69_2,hiv weight (6 decimals),,,
ha69_3,hiv weight (6 decimals),,,
ha69_4,hiv weight (6 decimals),,,
ha69_5,hiv weight (6 decimals),,,
ha69_6,hiv weight (6 decimals),,,
ha69_7,hiv weight (6 decimals),,,
ha70_1,interviewer that took blood for hiv testing,,,
ha70_2,interviewer that took blood for hiv testing,,,
ha70_3,interviewer that took blood for hiv testing,,,
ha70_4,interviewer that took blood for hiv testing,,,
ha70_5,interviewer that took blood for hiv testing,,,
ha70_6,interviewer that took blood for hiv testing,,,
ha70_7,interviewer that took blood for hiv testing,,,
hc0_1,index to household schedule,,,
hc0_2,index to household schedule,,,
hc0_3,index to household schedule,,,
hc0_4,index to household schedule,,,
hc0_5,index to household schedule,,,
hc0_6,index to household schedule,,,
hc0_7,index to household schedule,,,
hc1_1,child's age in months,,,
hc1_2,child's age in months,,,
hc1_3,child's age in months,,,
hc1_4,child's age in months,,,
hc1_5,child's age in months,,,
hc1_6,child's age in months,,,
hc1_7,child's age in months,,,
hc2_1,child's weight in kilograms (1 decimal),,,
hc2_2,child's weight in kilograms (1 decimal),,,
hc2_3,child's weight in kilograms (1 decimal),,,
hc2_4,child's weight in kilograms (1 decimal),,,
hc2_5,child's weight in kilograms (1 decimal),,,
hc2_6,child's weight in kilograms (1 decimal),,,
hc2_7,child's weight in kilograms (1 decimal),,,
hc3_1,child's height in centimeters (1 decimal),,,
hc3_2,child's height in centimeters (1 decimal),,,
hc3_3,child's height in centimeters (1 decimal),,,
hc3_4,child's height in centimeters (1 decimal),,,
hc3_5,child's height in centimeters (1 decimal),,,
hc3_6,child's height in centimeters (1 decimal),,,
hc3_7,child's height in centimeters (1 decimal),,,
hc4_1,height/age percentile,,,
hc4_2,height/age percentile,,,
hc4_3,height/age percentile,,,
hc4_4,height/age percentile,,,
hc4_5,height/age percentile,,,
hc4_6,height/age percentile,,,
hc4_7,height/age percentile,,,
hc5_1,height/age standard deviation,,,
hc5_2,height/age standard deviation,,,
hc5_3,height/age standard deviation,,,
hc5_4,height/age standard deviation,,,
hc5_5,height/age standard deviation,,,
hc5_6,height/age standard deviation,,,
hc5_7,height/age standard deviation,,,
hc6_1,height/age percent of ref. median,,,
hc6_2,height/age percent of ref. median,,,
hc6_3,height/age percent of ref. median,,,
hc6_4,height/age percent of ref. median,,,
hc6_5,height/age percent of ref. median,,,
hc6_6,height/age percent of ref. median,,,
hc6_7,height/age percent of ref. median,,,
hc7_1,weight/age percentile,,,
hc7_2,weight/age percentile,,,
hc7_3,weight/age percentile,,,
hc7_4,weight/age percentile,,,
hc7_5,weight/age percentile,,,
hc7_6,weight/age percentile,,,
hc7_7,weight/age percentile,,,
hc8_1,weight/age standard deviation,,,
hc8_2,weight/age standard deviation,,,
hc8_3,weight/age standard deviation,,,
hc8_4,weight/age standard deviation,,,
hc8_5,weight/age standard deviation,,,
hc8_6,weight/age standard deviation,,,
hc8_7,weight/age standard deviation,,,
hc9_1,weight/age percent of ref. median,,,
hc9_2,weight/age percent of ref. median,,,
hc9_3,weight/age percent of ref. median,,,
hc9_4,weight/age percent of ref. median,,,
hc9_5,weight/age percent of ref. median,,,
hc9_6,weight/age percent of ref. median,,,
hc9_7,weight/age percent of ref. median,,,
hc10_1,weight/height percentile,,,
hc10_2,weight/height percentile,,,
hc10_3,weight/height percentile,,,
hc10_4,weight/height percentile,,,
hc10_5,weight/height percentile,,,
hc10_6,weight/height percentile,,,
hc10_7,weight/height percentile,,,
hc11_1,weight/height standard deviation,,,
hc11_2,weight/height standard deviation,,,
hc11_3,weight/height standard deviation,,,
hc11_4,weight/height standard deviation,,,
hc11_5,weight/height standard deviation,,,
hc11_6,weight/height standard deviation,,,
hc11_7,weight/height standard deviation,,,
hc12_1,weight/height percent of ref. median,,,
hc12_2,weight/height percent of ref. median,,,
hc12_3,weight/height percent of ref. median,,,
hc12_4,weight/height percent of ref. median,,,
hc12_5,weight/height percent of ref. median,,,
hc12_6,weight/height percent of ref. median,,,
hc12_7,weight/height percent of ref. median,,,
hc13_1,result of measurement - height/weight,,,
hc13_2,result of measurement - height/weight,,,
hc13_3,result of measurement - height/weight,,,
hc13_4,result of measurement - height/weight,,,
hc13_5,result of measurement - height/weight,,,
hc13_6,result of measurement - height/weight,,,
hc13_7,result of measurement - height/weight,,,
hc15_1,height: lying or standing,,,
hc15_2,height: lying or standing,,,
hc15_3,height: lying or standing,,,
hc15_4,height: lying or standing,,,
hc15_5,height: lying or standing,,,
hc15_6,height: lying or standing,,,
hc15_7,height: lying or standing,,,
hc16_1,day of birth,,,
hc16_2,day of birth,,,
hc16_3,day of birth,,,
hc16_4,day of birth,,,
hc16_5,day of birth,,,
hc16_6,day of birth,,,
hc16_7,day of birth,,,
hc17_1,date measured (day),,,
hc17_2,date measured (day),,,
hc17_3,date measured (day),,,
hc17_4,date measured (day),,,
hc17_5,date measured (day),,,
hc17_6,date measured (day),,,
hc17_7,date measured (day),,,
hc18_1,date measured (month),,,
hc18_2,date measured (month),,,
hc18_3,date measured (month),,,
hc18_4,date measured (month),,,
hc18_5,date measured (month),,,
hc18_6,date measured (month),,,
hc18_7,date measured (month),,,
hc19_1,date measured (year),,,
hc19_2,date measured (year),,,
hc19_3,date measured (year),,,
hc19_4,date measured (year),,,
hc19_5,date measured (year),,,
hc19_6,date measured (year),,,
hc19_7,date measured (year),,,
hc27_1,sex,,,
hc27_2,sex,,,
hc27_3,sex,,,
hc27_4,sex,,,
hc27_5,sex,,,
hc27_6,sex,,,
hc27_7,sex,,,
hc30_1,month of birth,,,
hc30_2,month of birth,,,
hc30_3,month of birth,,,
hc30_4,month of birth,,,
hc30_5,month of birth,,,
hc30_6,month of birth,,,
hc30_7,month of birth,,,
hc31_1,year of birth,,,
hc31_2,year of birth,,,
hc31_3,year of birth,,,
hc31_4,year of birth,,,
hc31_5,year of birth,,,
hc31_6,year of birth,,,
hc31_7,year of birth,,,
hc32_1,date of birth (cmc),,,
hc32_2,date of birth (cmc),,,
hc32_3,date of birth (cmc),,,
hc32_4,date of birth (cmc),,,
hc32_5,date of birth (cmc),,,
hc32_6,date of birth (cmc),,,
hc32_7,date of birth (cmc),,,
hc33_1,completeness of hc32 information,,,
hc33_2,completeness of hc32 information,,,
hc33_3,completeness of hc32 information,,,
hc33_4,completeness of hc32 information,,,
hc33_5,completeness of hc32 information,,,
hc33_6,completeness of hc32 information,,,
hc33_7,completeness of hc32 information,,,
hc51_1,line number of parent/caretaker,,,
hc51_2,line number of parent/caretaker,,,
hc51_3,line number of parent/caretaker,,,
hc51_4,line number of parent/caretaker,,,
hc51_5,line number of parent/caretaker,,,
hc51_6,line number of parent/caretaker,,,
hc51_7,line number of parent/caretaker,,,
hc52_1,read consent statement - hemoglobin,,,
hc52_2,read consent statement - hemoglobin,,,
hc52_3,read consent statement - hemoglobin,,,
hc52_4,read consent statement - hemoglobin,,,
hc52_5,read consent statement - hemoglobin,,,
hc52_6,read consent statement - hemoglobin,,,
hc52_7,read consent statement - hemoglobin,,,
hc53_1,hemoglobin level (g/dl - 1 decimal),,,
hc53_2,hemoglobin level (g/dl - 1 decimal),,,
hc53_3,hemoglobin level (g/dl - 1 decimal),,,
hc53_4,hemoglobin level (g/dl - 1 decimal),,,
hc53_5,hemoglobin level (g/dl - 1 decimal),,,
hc53_6,hemoglobin level (g/dl - 1 decimal),,,
hc53_7,hemoglobin level (g/dl - 1 decimal),,,
hc55_1,result of measurement - hemoglobin,,,
hc55_2,result of measurement - hemoglobin,,,
hc55_3,result of measurement - hemoglobin,,,
hc55_4,result of measurement - hemoglobin,,,
hc55_5,result of measurement - hemoglobin,,,
hc55_6,result of measurement - hemoglobin,,,
hc55_7,result of measurement - hemoglobin,,,
hc56_1,hemoglobin level adjusted for altitude (g/dl - 1 decimal),,,
hc56_2,hemoglobin level adjusted for altitude (g/dl - 1 decimal),,,
hc56_3,hemoglobin level adjusted for altitude (g/dl - 1 decimal),,,
hc56_4,hemoglobin level adjusted for altitude (g/dl - 1 decimal),,,
hc56_5,hemoglobin level adjusted for altitude (g/dl - 1 decimal),,,
hc56_6,hemoglobin level adjusted for altitude (g/dl - 1 decimal),,,
hc56_7,hemoglobin level adjusted for altitude (g/dl - 1 decimal),,,
hc57_1,anemia level,,,
hc57_2,anemia level,,,
hc57_3,anemia level,,,
hc57_4,anemia level,,,
hc57_5,anemia level,,,
hc57_6,anemia level,,,
hc57_7,anemia level,,,
hc60_1,mother's line number (woman's questionnaire),,,
hc60_2,mother's line number (woman's questionnaire),,,
hc60_3,mother's line number (woman's questionnaire),,,
hc60_4,mother's line number (woman's questionnaire),,,
hc60_5,mother's line number (woman's questionnaire),,,
hc60_6,mother's line number (woman's questionnaire),,,
hc60_7,mother's line number (woman's questionnaire),,,
hc61_1,mother's highest educational level,,,
hc61_2,mother's highest educational level,,,
hc61_3,mother's highest educational level,,,
hc61_4,mother's highest educational level,,,
hc61_5,mother's highest educational level,,,
hc61_6,mother's highest educational level,,,
hc61_7,mother's highest educational level,,,
hc62_1,mother's highest year of education,,,
hc62_2,mother's highest year of education,,,
hc62_3,mother's highest year of education,,,
hc62_4,mother's highest year of education,,,
hc62_5,mother's highest year of education,,,
hc62_6,mother's highest year of education,,,
hc62_7,mother's highest year of education,,,
hc63_1,preceding birth interval (months),,,
hc63_2,preceding birth interval (months),,,
hc63_3,preceding birth interval (months),,,
hc63_4,preceding birth interval (months),,,
hc63_5,preceding birth interval (months),,,
hc63_6,preceding birth interval (months),,,
hc63_7,preceding birth interval (months),,,
hc64_1,birth order number,,,
hc64_2,birth order number,,,
hc64_3,birth order number,,,
hc64_4,birth order number,,,
hc64_5,birth order number,,,
hc64_6,birth order number,,,
hc64_7,birth order number,,,
hc68_1,mother's highest educational level (for preliminary and final report),,,
hc68_2,mother's highest educational level (for preliminary and final report),,,
hc68_3,mother's highest educational level (for preliminary and final report),,,
hc68_4,mother's highest educational level (for preliminary and final report),,,
hc68_5,mother's highest educational level (for preliminary and final report),,,
hc68_6,mother's highest educational level (for preliminary and final report),,,
hc68_7,mother's highest educational level (for preliminary and final report),,,
hc70_1,height/age standard deviation (new who),,,
hc70_2,height/age standard deviation (new who),,,
hc70_3,height/age standard deviation (new who),,,
hc70_4,height/age standard deviation (new who),,,
hc70_5,height/age standard deviation (new who),,,
hc70_6,height/age standard deviation (new who),,,
hc70_7,height/age standard deviation (new who),,,
hc71_1,weight/age standard deviation (new who),,,
hc71_2,weight/age standard deviation (new who),,,
hc71_3,weight/age standard deviation (new who),,,
hc71_4,weight/age standard deviation (new who),,,
hc71_5,weight/age standard deviation (new who),,,
hc71_6,weight/age standard deviation (new who),,,
hc71_7,weight/age standard deviation (new who),,,
hc72_1,weight/height standard deviation (new who),,,
hc72_2,weight/height standard deviation (new who),,,
hc72_3,weight/height standard deviation (new who),,,
hc72_4,weight/height standard deviation (new who),,,
hc72_5,weight/height standard deviation (new who),,,
hc72_6,weight/height standard deviation (new who),,,
hc72_7,weight/height standard deviation (new who),,,
hc73_1,bmi standard deviation (new who),,,
hc73_2,bmi standard deviation (new who),,,
hc73_3,bmi standard deviation (new who),,,
hc73_4,bmi standard deviation (new who),,,
hc73_5,bmi standard deviation (new who),,,
hc73_6,bmi standard deviation (new who),,,
hc73_7,bmi standard deviation (new who),,,
hb0_1,index to household schedule,,,
hb0_2,index to household schedule,,,
hb0_3,index to household schedule,,,
hb0_4,index to household schedule,,,
hb0_5,index to household schedule,,,
hb0_6,index to household schedule,,,
hb0_7,index to household schedule,,,
hb1_1,man's age in years,,,
hb1_2,man's age in years,,,
hb1_3,man's age in years,,,
hb1_4,man's age in years,,,
hb1_5,man's age in years,,,
hb1_6,man's age in years,,,
hb1_7,man's age in years,,,
hb2_1,man's weight in kilograms (1 decimal),,,
hb2_2,man's weight in kilograms (1 decimal),,,
hb2_3,man's weight in kilograms (1 decimal),,,
hb2_4,man's weight in kilograms (1 decimal),,,
hb2_5,man's weight in kilograms (1 decimal),,,
hb2_6,man's weight in kilograms (1 decimal),,,
hb2_7,man's weight in kilograms (1 decimal),,,
hb3_1,man's height in centimeters (1 decimal),,,
hb3_2,man's height in centimeters (1 decimal),,,
hb3_3,man's height in centimeters (1 decimal),,,
hb3_4,man's height in centimeters (1 decimal),,,
hb3_5,man's height in centimeters (1 decimal),,,
hb3_6,man's height in centimeters (1 decimal),,,
hb3_7,man's height in centimeters (1 decimal),,,
hb4_1,height/age percentile,,,
hb4_2,height/age percentile,,,
hb4_3,height/age percentile,,,
hb4_4,height/age percentile,,,
hb4_5,height/age percentile,,,
hb4_6,height/age percentile,,,
hb4_7,height/age percentile,,,
hb5_1,height/age standard deviation,,,
hb5_2,height/age standard deviation,,,
hb5_3,height/age standard deviation,,,
hb5_4,height/age standard deviation,,,
hb5_5,height/age standard deviation,,,
hb5_6,height/age standard deviation,,,
hb5_7,height/age standard deviation,,,
hb6_1,height/age percent ref. median,,,
hb6_2,height/age percent ref. median,,,
hb6_3,height/age percent ref. median,,,
hb6_4,height/age percent ref. median,,,
hb6_5,height/age percent ref. median,,,
hb6_6,height/age percent ref. median,,,
hb6_7,height/age percent ref. median,,,
hb11_1,weight/height standard deviation (dhs),,,
hb11_2,weight/height standard deviation (dhs),,,
hb11_3,weight/height standard deviation (dhs),,,
hb11_4,weight/height standard deviation (dhs),,,
hb11_5,weight/height standard deviation (dhs),,,
hb11_6,weight/height standard deviation (dhs),,,
hb11_7,weight/height standard deviation (dhs),,,
hb12_1,weight/height percent ref. median (dhs),,,
hb12_2,weight/height percent ref. median (dhs),,,
hb12_3,weight/height percent ref. median (dhs),,,
hb12_4,weight/height percent ref. median (dhs),,,
hb12_5,weight/height percent ref. median (dhs),,,
hb12_6,weight/height percent ref. median (dhs),,,
hb12_7,weight/height percent ref. median (dhs),,,
hb12a_1,weight/height percent ref. median (fog),,,
hb12a_2,weight/height percent ref. median (fog),,,
hb12a_3,weight/height percent ref. median (fog),,,
hb12a_4,weight/height percent ref. median (fog),,,
hb12a_5,weight/height percent ref. median (fog),,,
hb12a_6,weight/height percent ref. median (fog),,,
hb12a_7,weight/height percent ref. median (fog),,,
